0,1,41,1
10,16,46,2
14,15,4,3
22,14,16,4
22,1,38,5
26,8,33,6
33,6,7,7
35,3,24,8
42,17,36,9
42,18,24,10
50,16,46,11
55,13,14,12
56,4,34,13
56,19,8,14
61,6,23,15
65,19,16,16
70,14,11,17
76,19,47,18
76,16,42,19
76,11,13,20
78,2,42,21
87,2,42,22
90,3,45,23
93,15,46,24
94,20,18,25
98,14,13,26
103,2,8,27
109,19,10,28
109,2,43,29
119,5,45,30
128,5,14,31
128,6,6,32
135,15,21,33
139,13,26,34
143,20,42,35
148,14,50,36
151,9,18,37
151,1,40,38
161,17,38,39
165,15,22,40
168,6,24,41
169,20,0,42
170,13,21,43
180,20,15,44
189,8,42,45
197,2,14,46
206,18,44,47
212,6,16,48
219,5,16,49
225,11,7,50
231,9,10,51
235,2,15,52
235,10,48,53
236,8,17,54
239,12,32,55
247,6,6,56
256,17,43,57
261,11,6,58
266,13,48,59
268,14,27,60
275,8,25,61
282,9,16,62
286,5,41,63
294,2,13,64
294,8,33,65
298,12,15,66
300,14,42,67
300,5,36,68
310,17,5,69
310,10,23,70
314,15,40,71
322,17,1,72
327,2,33,73
333,11,25,74
333,19,6,75
335,12,5,76
337,17,23,77
345,15,9,78
347,16,30,79
349,15,29,80
358,20,9,81
364,17,8,82
374,15,42,83
377,9,8,84
380,14,13,85
385,2,14,86
385,8,5,87
388,3,8,88
395,13,13,89
403,6,39,90
405,18,31,91
408,15,45,92
409,8,36,93
413,18,6,94
418,15,1,95
428,10,16,96
430,3,42,97
430,18,32,98
434,16,13,99
444,10,2,100
453,14,18,101
457,8,2,102
466,13,34,103
470,14,30,104
475,13,3,105
483,10,7,106
485,4,36,107
492,10,10,108
495,15,15,109
496,1,15,110
503,8,21,111
509,7,50,112
519,19,6,113
525,9,34,114
527,13,30,115
536,1,25,116
545,3,10,117
550,14,40,118
559,19,24,119
561,3,36,120
565,7,34,121
573,11,39,122
578,15,12,123
587,13,41,124
592,9,31,125
600,16,28,126
609,18,19,127
617,9,47,128
627,20,19,129
631,7,24,130
636,9,33,131
646,2,48,132
649,18,25,133
655,14,33,134
664,12,10,135
670,10,21,136
670,19,45,137
679,10,48,138
679,3,4,139
683,2,21,140
688,3,37,141
697,15,36,142
697,2,45,143
705,19,23,144
710,18,14,145
712,4,2,146
716,19,8,147
721,8,40,148
724,4,39,149
725,17,40,150
733,6,37,151
737,7,15,152
741,19,42,153
749,2,7,154
756,5,40,155
762,12,21,156
764,3,49,157
773,7,24,158
781,17,9,159
785,3,42,160
787,20,10,161
790,17,25,162
794,4,26,163
802,10,12,164
803,15,39,165
808,19,3,166
818,2,25,167
818,3,12,168
820,10,20,169
828,4,7,170
832,18,10,171
835,15,1,172
837,15,28,173
840,17,48,174
850,3,17,175
858,16,23,176
860,18,36,177
867,3,0,178
875,19,42,179
875,14,11,180
